price,n_trades,total_contracts,volume_usd,is_round_5,is_key_round,is_extreme,trade_ratio
1,1409610,772846076.0,7728460.760000374,False,False,True,1.9357105536357233
2,704807,359358856.0,7187177.119999864,False,False,True,0.9678580232662461
3,868895,399928636.0,11997859.0800013,False,False,True,1.1931876345239547
4,798855,306416908.0,12256676.320000764,False,False,False,1.0970070120988542
5,804740,261054577.0,13052728.850000877,True,False,False,1.1050884364702378
6,755187,237729869.0,14263792.140001392,False,False,False,1.0370410580717369
7,756002,226265651.0,15838595.569998119,False,False,False,1.0381602357884196
8,754267,210932005.0,16874560.399999373,False,False,False,1.035777691814868
9,738285,193532251.0,17417902.590000022,False,False,False,1.0138308227743489
10,758159,196581852.0,19658185.199999623,True,True,False,1.0411222803711
11,674822,175178752.0,19269662.720001463,False,False,False,0.9266818958616682
12,671496,166391812.0,19967017.440001868,False,False,False,0.9221145521982489
13,668900,165049864.0,21456482.319998868,False,False,False,0.9185496621951712
14,689136,162556749.0,22757944.859999124,False,False,False,0.9463382269495164
15,719688,166714095.0,25007114.249998227,True,False,False,0.9882929724710994
16,664736,155451464.0,24872234.239998583,False,False,False,0.9128315566586476
17,693214,161416768.0,27440850.560002528,False,False,False,0.9519382352055067
18,677722,148036752.0,26646615.35999974,False,False,False,0.9306642460191895
19,671485,146669651.0,27867233.689999007,False,False,False,0.9220994467321342
20,715652,155546507.0,31109301.400000483,True,False,False,0.9827506396311836
21,668805,147285531.0,30929961.50999989,False,False,False,0.9184192058969076
22,703102,152193406.0,33482549.32000084,False,False,False,0.965516676018462
23,711923,156861271.0,36078092.32999605,False,False,False,0.9776298866182881
24,708515,147357262.0,35365742.88000286,False,False,False,0.9729499385711045
25,732186,155422221.0,38855555.25,True,True,False,1.005455528425824
26,665208,144370587.0,37536352.61999662,False,False,False,0.913479718477389
27,699926,155974793.0,42113194.11000404,False,False,False,0.9611553159838802
28,715495,152201239.0,42616346.9199946,False,False,False,0.9825350434330005
29,705077,145568050.0,42214734.500003904,False,False,False,0.9682287937981533
30,763436,154850339.0,46455101.699995495,True,False,False,1.0483687844335965
31,740618,161300917.0,50003284.270000264,False,False,False,1.0170345548148652
32,722710,152026481.0,48648473.919999816,False,False,False,0.9924428559800751
33,734553,153986581.0,50815571.73000549,False,False,False,1.0087059500888766
34,750568,159211638.0,54131956.91999682,False,False,False,1.03069813552774
35,736339,154172629.0,53960420.14999965,True,False,False,1.011158528496233
36,744227,160049514.0,57617825.039998986,False,False,False,1.021990520924691
37,783427,160192604.0,59271263.48001157,False,False,False,1.0758209092608408
38,800254,174337695.0,66248324.09998988,False,False,False,1.0989281527438102
39,816006,172063765.0,67104868.349999756,False,False,False,1.120559180220112
40,821839,176221864.0,70488745.60000105,True,False,False,1.1285691969334988
41,707289,151343425.0,62050804.24999984,False,False,False,0.9712663657114075
42,727433,161279508.0,67737393.36000195,False,False,False,0.9989285938400658
43,801259,194107386.0,83466175.98000264,False,False,False,1.1003082430570201
44,839457,186156826.0,81909003.4400051,False,False,False,1.1527626607525367
45,833735,184332477.0,82949614.65000856,True,False,False,1.1449050719244895
46,816353,181079205.0,83296434.29998545,False,False,False,1.1210356890148223
47,828546,182353108.0,85705960.76000679,False,False,False,1.137779411590911
48,903418,196152468.0,94153184.64000323,False,False,False,1.2405954533129575
49,858568,189058783.0,92638803.67001227,False,False,False,1.1790063482906021
50,932969,204556861.0,102278430.5,True,True,False,1.2811756014180995
51,837368,196432318.0,100180482.17998177,False,False,False,1.1498939954149292
52,833276,195953855.0,101896004.59998831,False,False,False,1.1442747620202474
53,860341,201808396.0,106958449.87999251,False,False,False,1.1814410747834592
54,832313,189458862.0,102307785.48000666,False,False,False,1.142952347123112
55,853842,199081734.0,109494953.69999863,True,False,False,1.1725164907580348
56,792568,195082179.0,109246020.23998818,False,False,False,1.0883735516021864
57,796858,197992906.0,112855956.42000589,False,False,False,1.0942646833869334
58,840615,208851418.0,121133822.440014,False,False,False,1.1543528543671608
59,803015,188769534.0,111374025.06000027,False,False,False,1.1027196247386089
60,803438,175193748.0,105116248.7999897,True,False,False,1.10330049857193
61,709449,163401063.0,99674648.43000267,False,False,False,0.9742325299666648
62,770618,186438831.0,115592075.2199974,False,False,False,1.0582312805823268
63,736953,167322346.0,105413077.97999552,False,False,False,1.0120016881502736
64,763770,168446815.0,107805961.60000044,False,False,False,1.0488274413138077
65,780108,170647407.0,110920814.55000676,True,False,False,1.0712631781667672
66,667766,147134473.0,97108752.1800023,False,False,False,0.9169924259611612
67,662812,146879104.0,98408999.67999336,False,False,False,0.910189473312761
68,685113,148542794.0,101009099.91999407,False,False,False,0.9408137460240998
69,687639,151095188.0,104255679.7200095,False,False,False,0.94428251033372
70,696524,152474986.0,106732490.20000027,True,False,False,0.95648360728185
71,589680,136388479.0,96835820.08999299,False,False,False,0.8097628416852274
72,614774,135232278.0,97367240.16000369,False,False,False,0.8442225295655168
73,625761,142586445.0,104088104.85001536,False,False,False,0.8593101437657535
74,631860,143643347.0,106296076.78001457,False,False,False,0.8676854381142786
75,667639,144250619.0,108187964.25,True,True,False,0.9168180264887456
76,584504,136180464.0,103497152.63998602,False,False,False,0.802655033266148
77,604205,142987170.0,110100120.89998397,False,False,False,0.8297089230776401
78,614910,141572638.0,110426657.63999812,False,False,False,0.8444092880556626
79,631244,149787945.0,118332476.55000308,False,False,False,0.8668395320118533
80,677105,155632485.0,124505988.00000405,True,False,False,0.929816966692572
81,558562,137015009.0,110982157.28999496,False,False,False,0.7670308512708316
