hour_et,win_rate,expected_win_rate,excess_win_rate,var_excess,n_trades,total_volume,avg_trade_size,se_excess,z_stat,p_value,significant
0,0.4606175170654088,0.47523556146677565,-0.014618044401355576,0.16091867092910014,2396954,297719468.24000084,124.20741834845427,0.0002591035532022744,-56.41776896028788,0.0,True
1,0.461473177834357,0.47669526464186723,-0.015222086807524387,0.15967327120001695,1243095,146120314.9800001,117.54557373330285,0.0003583966582173752,-42.472736445806554,0.0,True
2,0.46207724141509804,0.4799609122633909,-0.01788367084830594,0.1612600034621967,770830,84201423.79999986,109.23475189081881,0.00045738722251019497,-39.09962930349966,0.0,True
3,0.45899444799102396,0.481995047685378,-0.023000599694349252,0.15453456129420629,258465,19471337.650000013,75.33452362989192,0.0007732357783579093,-29.745907183957176,0.0,True
4,0.47260385169551716,0.48412925908638366,-0.011525407390871928,0.16268119231974243,197108,15300298.400000026,77.62393408689665,0.0009084824618806735,-12.686439061259232,0.0,True
5,0.4785820362977107,0.49601665413025975,-0.017434617832552228,0.16737268794199403,207396,17162530.98000005,82.75246861077383,0.000898342833116538,-19.40753261432266,0.0,True
6,0.480822532083449,0.4953040507356181,-0.014481518652174811,0.1575537619473086,234155,20447952.420000024,87.32656753005499,0.0008202810350595933,-17.654338005172495,0.0,True
7,0.48546636375110436,0.49517259876310415,-0.009706235011990418,0.16817965685497815,316920,26592263.58999996,83.90844247759674,0.0007284703960573149,-13.3241310347315,0.0,True
8,0.5007649442389319,0.5077285914396377,-0.006963647200704906,0.16427587447256647,1796863,189351009.97999933,105.37865712633591,0.00030236353270525766,-23.030711205153935,0.0,True
9,0.49359083917279095,0.5028101154753056,-0.009219276302501292,0.16658180958015106,2445718,252882781.19000167,103.39817640055054,0.00026098202575330063,-35.32533045481082,0.0,True
10,0.49351391911757847,0.5014398559774279,-0.007925936859838046,0.16538242765263958,3001196,291243480.56999767,97.04247259092631,0.00023474562222831885,-33.763938959121894,0.0,True
11,0.4895214277095879,0.4979721453094651,-0.008450717599883254,0.16770149640345106,3190845,311325494.7800021,97.56835408175644,0.00022925331000350492,-36.861921861691144,0.0,True
12,0.4803572425433541,0.49207549741066936,-0.011718254867384639,0.17159891990272177,3654324,385634023.6800019,105.52814246355877,0.0002166974246097824,-54.0765765374751,0.0,True
13,0.4817872389494045,0.4919632055846953,-0.010175966635322413,0.17197889253097307,3919834,422983720.800001,107.9085800061944,0.00020946127182037188,-48.581613903543165,0.0,True
14,0.48157314171662935,0.4900400646588723,-0.008466922942272997,0.16899046067457246,4090388,447287707.53999877,109.35092405414811,0.0002032585589018034,-41.655923312747035,0.0,True
15,0.48427808359329394,0.49375851174890933,-0.009480428155671317,0.16330255479711617,4779570,575658336.1899892,120.44144895670306,0.00018484260324407647,-51.289194099656946,0.0,True
16,0.47355818414246104,0.4858606020575568,-0.012302417915148469,0.16321175582886258,4198369,531800871.37999123,126.66844466982089,0.00019716753875127584,-62.39575740034875,0.0,True
17,0.469506286960022,0.4817698329702271,-0.012263546010215667,0.16502656237997831,3410949,404794835.23000276,118.6751356382059,0.00021995777281403543,-55.75409249385314,0.0,True
18,0.4732201098203692,0.48389799950330786,-0.010677889682956531,0.16827347749822055,3624100,481169106.91999716,132.76926876189873,0.0002154803878529215,-49.553881860676995,0.0,True
19,0.46476709283034473,0.47932733434146,-0.014560241511153446,0.17739224534743364,4468862,568421879.9999821,127.19611390998024,0.00019923647234740613,-73.0802013286249,0.0,True
20,0.4645356063149142,0.4777883307922004,-0.013252724477248236,0.17571853521387543,4995729,639935927.659983,128.096605652545,0.00018754666742474587,-70.66360953902829,0.0,True
21,0.46663722373690025,0.4752794590554117,-0.00864223531851421,0.16998822658412324,5198758,718665563.4099913,138.23793363914828,0.00018082547754776383,-47.79323929191019,0.0,True
22,0.46086492574695476,0.4747502320876176,-0.0138853063406785,0.1585041579010751,5334192,770116689.4899943,144.37363512411895,0.0001723796552160981,-80.55072579923448,0.0,True
23,0.4659842968542066,0.4765324768702955,-0.01054818001612961,0.16268632054160131,4027728,534334651.3300006,132.66403573677283,0.00020097657988825561,-52.4846229445962,0.0,True
