price,avg_trade_value
0,0.0
1,5.482694333894288
2,10.197369095369183
3,13.80818059719684
4,15.342804789355608
5,16.21980869597733
6,18.887761759671935
7,20.95046781622025
8,22.372131354015686
9,23.5923831447206
10,25.928842366838087
11,28.555178580427974
12,29.735124915117538
13,32.077264643442604
14,33.02388042418188
15,34.747160227762805
16,37.41671015260008
17,39.584963027293945
18,39.31791407096048
19,41.5009027602985
20,43.46987278733293
21,46.24660627537156
22,47.62118344137951
23,50.6769585053392
24,49.91530578746087
25,53.06787517106309
26,56.42799337950923
27,60.16806649560615
28,59.56204714218053
29,59.872516760587075
30,60.850027638198355
31,67.51562110291569
32,67.31396261294309
33,69.17890435408435
34,72.12132267828697
35,73.28203470140701
36,77.41969189507962
37,75.65639616711084
38,82.78412116651708
39,82.23575359739955
40,85.7695310151997
41,87.7304811046111
42,93.11839490372549
43,104.16878435062951
44,97.57379286849127
45,99.49158263717894
46,102.0348235383308
47,103.44140308444739
48,104.21884956908411
49,107.89920387204215
50,109.62682629326376
51,119.63734245873033
52,122.2836186329471
53,124.32099583768948
54,122.91984563500368
55,128.2379570224929
56,137.83804069807056
57,141.62618235621008
58,144.10142864452342
59,138.69482520251862
60,130.83305594207746
61,140.4958614784179
62,149.99918924810686
63,143.03907844868766
64,141.1497723136547
65,142.18648514052805
66,145.4233252067376
67,148.47196441825798
68,147.4342187639034
69,151.61397145887494
70,153.2359117560915
71,164.2175757868612
72,158.3789167401416
73,166.3384340826848
74,168.22726043746007
75,162.045602863224
76,177.06833937832155
77,182.22312112608176
78,179.5818211445547
79,187.4591703842031
80,183.8798827360649
81,198.69263804196254
82,193.64142271979264
83,201.27547135105613
84,206.638616210101
85,206.45094008947456
86,229.5533611327492
87,222.15541329432918
88,224.5417752036721
89,232.5789042461495
90,232.20078310996033
91,251.2993679056109
92,261.3993007258101
93,256.37355766221236
94,269.7759342199365
95,270.69526748418593
96,290.268078644636
97,305.59395924991804
98,331.1908305720548
99,405.8839554748634
