trade_size_bin,win_rate,expected_win_rate,excess_win_rate,n_trades
0.0,0.4459023068362452,0.4578264757622304,-0.011924168925610355,56900051
100.0,0.5889867010578383,0.5977465051156268,-0.008759804057785628,4390274
200.0,0.6087758977363392,0.6164136529433336,-0.0076377552069687785,1896353
300.0,0.6299371661923794,0.6385197505960338,-0.008582584403658916,1035589
400.0,0.6794823579329032,0.6881727514681899,-0.008690393535261874,829608
500.0,0.6217123740809627,0.6294077467514062,-0.00769537267041959,400555
600.0,0.6392049216063038,0.6489724370670519,-0.009767515460754975,309655
700.0,0.6739160212432049,0.6758169123776439,-0.0019008911344452666,255517
800.0,0.6990201191734476,0.7025891377694715,-0.003569018596042709,216659
900.0,0.7296109436128674,0.7333071123598045,-0.0036961687469824114,263021
1000.0,0.6063704808507595,0.611547467028979,-0.005176986178222288,97889
1100.0,0.6320665110988637,0.6322833288382781,-0.0002168177394199568,85279
1200.0,0.6293034323995758,0.6371243630531974,-0.007820930653630249,77322
1300.0,0.6474210037174721,0.6552783747676577,-0.007857371050185863,68864
1400.0,0.6701651076298885,0.6705323734926025,-0.00036726586272955677,70984
1500.0,0.6558819225985807,0.6558625356646421,1.9386933938075226e-05,54676
1600.0,0.667668544357969,0.6723788291964368,-0.004710284838472028,50239
1700.0,0.6956004756242569,0.6949796161032741,0.0006208595209784234,47096
1800.0,0.69983696759731,0.7027108212757259,-0.0028738536784185466,49070
1900.0,0.7266226622662266,0.7304075907590653,-0.003784928492849205,54540
2000.0,0.6381282852921978,0.6469814821177072,-0.008853196825505855,29107
2100.0,0.6577466769815036,0.6692689359307996,-0.011522258949293231,28438
2200.0,0.6624153498871331,0.6660504138450026,-0.003635063957863034,26580
2300.0,0.6802139440280237,0.6829213906361861,-0.002707446608158497,26549
2400.0,0.6957532290732809,0.6988637646511936,-0.003110535577912743,30117
2500.0,0.6624546919049537,0.6669417035843744,-0.004487011679420082,19864
2600.0,0.6849702075200329,0.6831138278200107,0.0018563797000205064,19468
2700.0,0.7004640487001647,0.6976273639039945,0.0028366847961679036,20041
2800.0,0.6912495607209197,0.6933550881068372,-0.0021055273859130245,19919
2900.0,0.731682769726248,0.7324376006441268,-0.0007548309178743319,19872
3000.0,0.649383947012321,0.6582843102343153,-0.00890036322199273,14041
3100.0,0.6591444419117088,0.6689727224375038,-0.009828280525795898,13161
3200.0,0.6880252910787262,0.6870321535970377,0.0009931374816870829,12969
3300.0,0.6829842506900471,0.6847523948692981,-0.001768144179249895,12318
3400.0,0.6980784627702161,0.7021449159327483,-0.004066453162529994,12490
3500.0,0.7103590127150337,0.7090379581151839,0.0013210545998504173,10696
3600.0,0.7123920816255341,0.71938693642627,-0.006994854800732518,11467
3700.0,0.715952172645086,0.7170477301448444,-0.0010955574997569472,10287
3800.0,0.7308779443254818,0.7377781584582438,-0.006900214132762326,11675
3900.0,0.7298760899495181,0.7357292335933898,-0.00585314364387336,10895
4000.0,0.6959161147902869,0.707742825607064,-0.011826710816777077,9060
4100.0,0.726423544465771,0.7331119641714655,-0.006688419705694165,7815
4200.0,0.7192048278310259,0.7275056206366112,-0.008300792805585136,8451
4300.0,0.7165270732570485,0.7349593016397336,-0.018432228382682464,8477
4400.0,0.7428214731585518,0.7518564294631697,-0.009034956304619273,8010
4500.0,0.759783566125582,0.7561545237196421,0.0036290424059393462,7947
4600.0,0.7698343504795118,0.7629131896873839,0.006921160792128488,8029
4700.0,0.7712214026753345,0.7735479434929384,-0.002326540817602135,7999
4800.0,0.7528537019583202,0.76590637763117,-0.01305267567284534,9549
4900.0,0.7985460953849542,0.7917083379226821,0.006837757462275601,9079
5000.0,0.6543240556660039,0.6570303180914514,-0.0027062624254473072,4024
5100.0,0.6793258960360788,0.6895964870638494,-0.010270591027771189,4213
5200.0,0.6769562096195262,0.6784685331419006,-0.0015123235223737323,4179
5300.0,0.7003058103975535,0.7010063942174035,-0.000700583819849887,3597
5400.0,0.6808827175799653,0.7042375402925863,-0.023354822712620824,4033
5500.0,0.7372372372372372,0.7109384384384402,0.026298798798798786,3996
5600.0,0.7222374554428297,0.7068494653139568,0.015387990128873048,3647
5700.0,0.7438078558919189,0.7239404553415048,0.01986740055041278,3997
5800.0,0.7326326582927455,0.7280005126890553,0.004632145603691344,3901
5900.0,0.7224025974025974,0.712750000000001,0.00965259740259744,3080
6000.0,0.7088730569948186,0.6899773316062173,0.018895725388601042,3088
6100.0,0.686976389946687,0.7025780654988583,-0.015601675552170574,2626
6200.0,0.687247335538405,0.6949393605292179,-0.0076920249908121845,2721
6300.0,0.708230307311904,0.7166725538678903,-0.008442246555987314,2831
6400.0,0.6916850625459897,0.7055445180279613,-0.013859455481972075,2718
6500.0,0.7350144687887556,0.7303265812319149,0.004687887556841643,2419
6600.0,0.6992569417285882,0.713586233867813,-0.014329292139225671,2557
6700.0,0.7164065473924629,0.73228397411496,-0.01587742672249716,2627
6800.0,0.7223286097280736,0.736212179241671,-0.013883569513596306,2611
6900.0,0.7444660194174757,0.7512893203883493,-0.006823300970873734,2575
7000.0,0.7235908141962422,0.7209519832985388,0.002638830897703583,2395
7100.0,0.7634660421545667,0.7571522248243554,0.006313817330210757,2135
7200.0,0.729504785684561,0.7401872659176029,-0.010682480233042028,2403
7300.0,0.7555555555555555,0.7599545454545455,-0.004398989898989958,1980
7400.0,0.7941441441441441,0.7667612612612612,0.027382882882882858,2220
7500.0,0.7693430656934307,0.7595912408759125,0.009751824817518254,2055
7600.0,0.7861692447679709,0.7687033666969978,0.01746587807097363,2198
