price,taker_trades,taker_wins,taker_win_rate,maker_trades,maker_wins,maker_win_rate,combined_trades,combined_wins,combined_win_rate,implied_probability,taker_mispricing_pct,maker_mispricing_pct,combined_mispricing_pct
1,1343181,5711.0,0.42518469215988014,996039,15658.0,1.572026798147462,2339220,21369.0,0.9135096314156,1.0,-57.481530784011994,57.202679814746205,-8.649036858439995
2,651974,7572.0,1.1613960065892197,723601,18542.0,2.5624619092566205,1375575,26114.0,1.8984061210766408,2.0,-41.93019967053901,28.123095462831028,-5.079693946167962
3,813871,14406.0,1.7700593828751732,750542,27934.0,3.721843680966555,1564413,42340.0,2.706446443490306,3.0,-40.998020570827556,24.061456032218498,-9.785118550323135
4,723802,17958.0,2.481065263704715,640746,29110.0,4.543141900222553,1364548,47068.0,3.449347329665208,4.0,-37.973368407382125,13.57854750556382,-13.7663167583698
5,741347,25587.0,3.4514201851494644,666183,33278.0,4.9953241076400925,1407530,58865.0,4.182148870716787,5.0,-30.971596297010713,-0.09351784719815015,-16.357022585664254
6,690933,27209.0,3.9380084610229935,612360,36859.0,6.0191717290482725,1303293,64068.0,4.915855452304278,6.0,-34.366525649616776,0.31952881747120776,-18.0690757949287
7,690153,32545.0,4.715621028960245,581456,41086.0,7.06605486915605,1271609,73631.0,5.790380533638878,7.0,-32.63398530056792,0.9436409879435661,-17.280278090873175
8,692938,41350.0,5.96734484181846,562755,46205.0,8.210500128830486,1255693,87555.0,6.972643791117734,8.0,-25.40818947726925,2.631251610381069,-12.84195261102833
9,679549,45851.0,6.747269144682724,529512,48238.0,9.10989741497832,1209061,94089.0,7.781989494326589,9.0,-25.030342836858626,1.2210823886480031,-13.533450063037902
10,697455,54518.0,7.816705020395581,597797,60946.0,10.195099674304153,1295252,115464.0,8.914404301247943,10.0,-21.83294979604419,1.9509967430415287,-10.855956987520567
11,613216,53525.0,8.728571987684601,550903,62020.0,11.257880243890485,1164119,115545.0,9.9255316681542,11.0,-20.649345566503623,2.344365853549862,-9.76789392587091
12,610900,60623.0,9.923555410050744,567735,70272.0,12.377605749161141,1178635,130895.0,11.105643392568522,12.0,-17.303704916243802,3.1467145763428426,-7.452971728595648
13,609195,71808.0,11.787358727501047,513520,67089.0,13.06453497429506,1122715,138897.0,12.371527947876354,13.0,-9.328009788453482,0.4964228791927748,-4.834400400951125
14,631587,79463.0,12.581481252780694,531300,71107.0,13.383587427065688,1162887,150570.0,12.947947650975546,14.0,-10.132276765852184,-4.4029469495308,-7.514659635888954
15,659028,84192.0,12.775177989402575,576594,87825.0,15.23168815492357,1235622,172017.0,13.921490552936092,15.0,-14.832146737316165,1.5445876994904613,-7.190062980426054
16,611319,87234.0,14.269800218870998,559528,91425.0,16.33966486038232,1170847,178659.0,15.258953560969111,16.0,-10.813748632056264,2.1229053773895057,-4.631540243943055
17,639590,97972.0,15.317938054065886,515652,85041.0,16.491936422238254,1155242,183013.0,15.841962117028293,17.0,-9.894482034906554,-2.9886092809514464,-6.811987546892392
18,627660,98527.0,15.6975113915177,528061,95310.0,18.049051151287447,1155721,193837.0,16.771954476902298,18.0,-12.79160338045722,0.27250639604137206,-6.822475128320566
19,625136,105445.0,16.86752962555348,526772,99683.0,18.92336722528912,1151908,205128.0,17.80767214048344,19.0,-11.22352828656063,-0.40333039321515984,-6.275409786929262
20,666888,125664.0,18.84334400978875,640730,146406.0,22.84987436205578,1307618,272070.0,20.80653524194375,20.0,-5.783279951056244,14.249371810278893,4.032676209718744
21,626654,133497.0,21.30314336140837,596391,144162.0,24.172396967761085,1223045,277659.0,22.702271788854866,21.0,1.4435398162303346,15.106652227433736,8.106056137404122
22,657966,155213.0,23.589820750616294,572253,124371.0,21.73356889347893,1230219,279584.0,22.72636010336371,22.0,7.226457957346791,-1.2110504841866738,3.30163683347141
23,658550,140084.0,21.2715815048212,559789,121028.0,21.62028907320437,1218339,261112.0,21.43180182198879,23.0,-7.514863022516524,-5.998743159981007,-6.818252947874834
24,652428,139872.0,21.438687487354926,545612,121255.0,22.22366810114147,1198040,261127.0,21.796183766819137,24.0,-10.672135469354476,-7.401382911910541,-9.182567638253596
25,671430,150799.0,22.459377746004797,627156,149293.0,23.80476308924733,1298586,300092.0,23.109135629061146,25.0,-10.16248901598081,-4.780947643010677,-7.563457483755415
26,617574,141373.0,22.891669662259098,592856,150445.0,25.376313978436585,1210430,291818.0,24.10862255562073,26.0,-11.955116683618854,-2.39879239062852,-7.27452863222796
27,653378,158043.0,24.188601391537517,593297,162539.0,27.395891096701988,1246675,320582.0,25.7149617983837,27.0,-10.412587438749936,1.4662633211184724,-4.7594007467270325
28,674466,179587.0,26.62654603790258,577981,182498.0,31.57508637827195,1252447,362085.0,28.910205381944305,28.0,-4.905192721776507,12.768165636685541,3.2507335069439467
29,661997,188970.0,28.54544658057363,556473,164798.0,29.61473422789605,1218470,353768.0,29.033788275460207,29.0,-1.5674255842288678,2.1197731996415543,0.11651129469036903
30,720004,206874.0,28.7323403758868,661795,206116.0,31.14499202925377,1381799,412990.0,29.88784910106318,30.0,-4.225532080377334,3.8166400975125705,-0.3738363297894054
31,701674,198527.0,28.293338501925394,652415,227142.0,34.81556984434754,1354089,425669.0,31.435821426804296,31.0,-8.73116612282131,12.308289820475945,1.4058755703364378
32,682354,231519.0,33.929455971533834,648187,225930.0,34.85568207939993,1330541,457449.0,34.380676732246506,32.0,6.0295499110432305,8.92400649812477,7.439614788270332
