price_change_bin,price_change_label,win_rate,expected_win_rate,excess_win_rate,var_excess,n_trades,total_volume,se_excess,z_stat,p_value,significant
-15.0,<-10,0.5573757775160046,0.5843764136025098,-0.027000636086491194,0.17826500189677302,1804786,131261604.64999942,0.00031428249146996307,-85.91199579780513,0.0,True
-7.5,-10 to -5,0.5486152484265793,0.5557016611001958,-0.007086412673610325,0.17467897861627482,2193787,153013295.48000023,0.0002821779620829843,-25.11327469126139,0.0,True
-3.5,-5 to -2,0.5377421722417803,0.5445514399094733,-0.006809267667656931,0.16878115153215761,4019350,363256266.1699974,0.00020491986446727567,-33.22892919804915,0.0,True
-1.5,-2 to -1,0.5253369572396882,0.5351920810477137,-0.00985512380800437,0.1655536009429835,3663818,506141648.38999283,0.00021257019442425415,-46.36173869387921,0.0,True
-0.5,-1 to 0,0.5042892730650121,0.5130906262929293,-0.008801353227960948,0.15966809056583317,7528665,1126195552.5301037,0.0001456297417536602,-60.436509204616094,0.0,True
0.0,0,0.4403738258902922,0.4501165765118799,-0.009742750621352585,0.1657725012347568,27122359,3758710667.0119557,7.817943277079908e-05,-124.6203800162594,0.0,True
0.5,0 to 1,0.4604676243624695,0.4682144527311906,-0.007746828368765721,0.16241951550792283,7794333,1000855508.8800728,0.0001443542674445102,-53.66539213496825,0.0,True
1.5,1 to 2,0.47340049668037254,0.48038934503369013,-0.006988848353306891,0.1695958368777916,3719092,403045701.3599966,0.00021354486506864064,-32.72777526661873,0.0,True
3.5,2 to 5,0.48410664092250355,0.4952885588121059,-0.011181917889591093,0.17565061900982382,4087399,317575848.69999635,0.00020730096565496313,-53.94050073168764,0.0,True
7.5,5 to 10,0.49527895165829744,0.5157439353454268,-0.02046498368712943,0.18504045284234544,2204701,143535281.6000004,0.000289706668365547,-70.64036117148348,0.0,True
15.0,>10,0.5155529306803917,0.5692614048462801,-0.05370847416587785,0.19607023560810527,1833738,130056103.49999964,0.00032699204920298545,-164.25009200311618,0.0,True
