category,total_volume,market_count
KXLOUVRETHIEVESCHARGE,437542.0,3
KX538APPROVE,436590.0,108
KXTOPALBUMRECORDGNXS,436323.0,10
KXSBMENTION,434881.0,19
PRESPARTYKS,432919.0,2
KXFL1MOV,425270.0,11
KXPRESIRELAND,423096.0,10
KXVTCOACH,422675.0,10
TESLACEOCHANGE,421913.0,3
KXMLBALCY,421685.0,13
KXALPHAARENA,419855.0,6
KXMLBNLMVP,419706.0,16
KXMLBNLEAST,418733.0,5
PRESPARTYOR,417555.0,2
KXRTSQUIDGAMES2,416923.0,5
KXRTKRAVEN,415286.0,12
KXARKCOACH,413634.0,16
KXVOTEDTULSI,412951.0,1
KXNCAABBIGTEN,412396.0,47
KXSHERRILLOUTPERFORMRCP,410822.0,1
HURCAT,410456.0,244
KXCANAL,410232.0,1
KXRTALIENEARTH,409634.0,8
KXVAAGMOV,408551.0,10
KXSTATEFLIPDJT,407900.0,1
KXGRAMMYNOMNAOTY,405581.0,48
CASE7DA,405434.0,1
KXUECLGAME,405102.0,105
KXSAGAWARDENSEMBLE,405055.0,11
RTGLADIATOR2,405018.0,10
WGA,404843.0,9
KXNBAALLSTAR,404695.0,4
NASDAQ100Z,404007.0,141
KXLIGAMXGAME,401115.0,54
KXFOREIGNTARIFF,399564.0,42
KXBOXINGFIGHT,399166.0,2
KXMAYORMIA,398986.0,2
KXMAXWELLTESTIFY,398730.0,1
OAIAGI,396578.0,5
KXTRUMPNOMMAX,396165.0,24
KXEARNINGSMENTIONGOOGL,396161.0,53
KXRTTHELONGWALK,394616.0,10
KXBIDENRESIGN,394297.0,1
GTEMP,394107.0,3
538APPROVEMIN,393522.0,81
KXNCAAMSEC,392673.0,16
KXLEASTSTREAMEDSONGTLOASG,392131.0,12
KXELECTIONDAYCALL,391548.0,1
RTFURIOSA,390270.0,10
KXSECVA,389594.0,4
KXRTFREAKIERFRIDAY,387805.0,13
RTDEADPOOL3,387150.0,11
HOUSEAKAL,385164.0,4
KXGOVTSPEND,384689.0,4
KXTVSHOWSCANCELLED,384639.0,7
KXRTFIGHTORFLIGHT,383811.0,11
KXOSCARANIMATED,382431.0,9
KXAPRPOTUSEOY,380713.0,12
KXUEL,380210.0,17
KXMLBMENTION,379933.0,64
KXPERSONTOPICCOLDPLAYATRONOMOR,379790.0,1
KXCHANCELLOR,379491.0,6
KXSKIMPEACH,379176.0,1
UNIPRESIDENT,379073.0,3
KXOSCARWINNERS,377741.0,10066
KXEMMYDACTR,375162.0,11
KXREDISTRICTING,374576.0,21
KXDAVISCUPADVANCE,374492.0,10
KX60MINMENTION,373612.0,23
KXGERMANYPARTY,371688.0,6
KXFACUP,370800.0,33
KXKIMMELAPOLOGY,369796.0,1
CASEW,369496.0,55
KXCABLEAVE,368568.0,3
KXEARNINGSMENTIONPLTR,368443.0,55
KXJLEAGUEGAME,366288.0,30
KXMARRIAGESWIFTKELCE,365385.0,2
KXECTIE,365052.0,1
KXXRPMAXY,364596.0,5
INFRALW,362128.0,7
HOUSEFL6,361041.0,2
KXDJTINVESTMENT,360523.0,15
KXEPLTOTAL,359751.0,150
IMOAI,358525.0,1
KXVOTEHUBTRUMPUPDOWN,358316.0,11
RAINNYCM,357721.0,88
SDEBT,357686.0,1
TOPALBUMRECORDY,356464.0,15
KXVOTEDPATEL,355009.0,1
KXEARNINGSMENTIONHD,354220.0,10
RTQUIETPLACEDAYONE,353286.0,12
KXVOTERECNCS,352193.0,9
KXROGANKH,351616.0,1
KXINXMAXY,351063.0,8
KXEARNINGSMENTIONCOST,349407.0,31
KXFERTILITYSK,348834.0,1
KXUSADEALCOUNT,348541.0,22
KXRECNCH,347825.0,11
KXDRONES,347011.0,1
SPACEXCOUNT,346872.0,9
KXSENATETXR,346841.0,5
ECKHBLOWOUT,345064.0,1
KXIMPEACH,344622.0,5
KXTRUMPZELENSKYY,343711.0,23
KXSBVIEWER,341981.0,2
KXMLBALCENT,341376.0,5
KXSECED,339330.0,7
KXHOUSEEPSTEIN2,337755.0,10
RTAPES,337553.0,9
KXMSUNIVERSE,336287.0,126
KXNEXTHURDATE,336027.0,6
KXBUSINESSROUNDTABLE,335639.0,21
KXTARIFFCOUNTRY,333791.0,10
KXNCAAMACC,332474.0,18
KXVACCINERECS,331529.0,27
KXSCOTUSMENTION,331461.0,15
KXRTCAUGHTSTEALING,331204.0,15
KXCABJAN20,330923.0,1
FRMMAX,330826.0,24
KXTRUMPSAYMAM,330819.0,11
KXBTCVSGOLD,330691.0,1
KXRUBIOCOUNT,328369.0,12
KXROGANGUEST,327675.0,23
KXREPSWORNIN,327084.0,14
KXNFLTRADE,326133.0,33
KXEARNINGSMENTIONWMT,326128.0,33
KXGRAMMYNOMSOTY,325120.0,32
KXHIGHMOVKH,323655.0,9
KXTARIFFRATEPRC,322962.0,27
KXMAMDANIREDSTRICT,322489.0,2
KXMEETPTZ,321773.0,3
KXCALIREDISTRICTING,321631.0,1
KXACQUANNOUNCETIKTOK,319820.0,1
HURCTOT,319804.0,19
KXNBADPOY,319188.0,43
CPIUSEDCAR,317301.0,99
KXPROGMAYORSWEEP,316923.0,1
KXSENATEEPSTEIN,316469.0,9
KXNEXTTEAMGIANNIS,316171.0,30
SCOURT,315353.0,5
KXELECTIONMOVAZ7S,314000.0,6
KXPOLANDMOV,313517.0,7
PRESPARTYWA,312204.0,2
KXOSCARSPLAY,311916.0,27
RAINNY,310582.0,31
KXNHLPLAYOFF,308864.0,62
KXCPBFUNDING,308434.0,1
KXNYCTURNOUT,307468.0,11
KXTRUMPFOOTBALL,305108.0,2
KXNBASIXTH,305049.0,54
KXEARNINGSMENTIONAAPL,304206.0,57
KXNYCMDEBMENTION,303982.0,55
KXACAEXT,303939.0,1
HURTB,303538.0,10
KXDOGEMAX69,302281.0,1
OSCARNOMACTR,301668.0,16
KXCLEANCR,301329.0,1
AAAGASM,300645.0,60
KXEPSTEINNO,300319.0,2
KXNEXTCOACHOUTNFL,300108.0,93
KXABRAHAMSY,299298.0,2
KXRTROSES,297715.0,13
KXSECHOMELAND,296493.0,5
KXNCAABSEC,296418.0,52
KXDJTJUSTICEMENTION,296127.0,25
KXHURCTOT,296059.0,18
KXCOUNTRYTARIFF,293133.0,13
SPACEXSTARSHIP,290881.0,26
KXTRAVELBANS,290492.0,11
KXMLSCUP,290050.0,30
SUPERCON,288832.0,2
KXLASTSUMMER,288325.0,14
KXTOPPOPRANK,286813.0,52
KXEARNINGSMENTIONAMZN,286511.0,61
KXSNOWS,285776.0,15
KXDAVISCUP,284953.0,8
KXSWINGFLIP24,284741.0,1
KXTRUMPMENTIONDURATION,284389.0,58
KXKNOXGOLD,282921.0,1
KXRTTHERUNNINGMAN,282863.0,12
KXRELEASEMAXWELL,282241.0,1
GOVPARTYNH,281846.0,4
KXMLBNLWEST,281264.0,5
KXNDEBTSHRINK,279961.0,1
538APPROVEMAX,279892.0,86
KXBOLIVIARUNOFFMOV,279133.0,8
KXHOUSEGOVTFUND,278601.0,13
KXGERCOALITION,278428.0,8
KXDJTWSJ,277604.0,1
KXJPOWMENTION,275722.0,54
KXCOACHOUTOLEMISS,275102.0,1
KXMVENFLMULTIGAME,274716.0,12943
KXSPOTIFYARTISTD,274618.0,4170
ACPICORE,274440.0,16
KXTESLAPROD,272714.0,31
KXRTSPRINGSTEEN,272525.0,12
KXRTWARFARE,272512.0,15
KXDWTSELIMINATION,272144.0,73
OSCARACTR,270957.0,20
HURCTOTMAJ,270892.0,21
GPT5,270406.0,2
KXMCCLAIROBSCUR,270398.0,6
KXRTUNBREAKABLEBOY,269291.0,11
KXEMMYCACTR,268815.0,16
KXAUSPM,268460.0,3
KXEXITPOLLWOMEN,266089.0,1
KXNEWCOACHNO,266078.0,10
KXINCOMETAXCUT,265382.0,1
KXOAIPROFIT,264774.0,2
KXNETANYAHUMENTION,264759.0,20
KXUSELECTIONARIZONA7,264516.0,2
KXNYSECIRCUIT,264419.0,1
KXSNAPDELAY,263166.0,1
TROPSTORM,262380.0,16
SCOTUSN,261495.0,4
TORNADO,260565.0,126
HURMIA,260496.0,15
KXSTARSHIPLAUNCH,260239.0,12
POPVOTEDJTIA,259739.0,1
KXCOLBERTMENTION,259409.0,63
RECNCH,257942.0,7
KXRTHONEYDONT,257923.0,10
KXOAISOCIAL,257308.0,1
KXENGAGEMENTSWIFTKELCE,256769.0,1
RTDESPICABLEME4,256384.0,13
BTCMINY,255149.0,4
KXEARTHQUAKE,254894.0,6
KXMUSKTAGDJT,254881.0,5
RTALIENROMULUS,254754.0,9
GRAMAOTY,254497.0,38
KXEARNINGSMENTIONNKE,254072.0,32
KXGEMINI3,253581.0,3
KXWWDCMENTION,252150.0,20
KXLALIGA,251299.0,40
KXNOMWPH,250995.0,1
RTJOKER2,250226.0,13
TESLAPROD,249591.0,22
KXECDJT281,249581.0,1
KXTOPALBUMRECORDTLOASG,249330.0,13
KXVANCEOUT,249271.0,1
KXCUOMOMENTION,248638.0,11
KXPRESECUADOR25,248630.0,12
KXTROPSTORM,248435.0,16
KXEPLSPREAD,247620.0,200
KXCOVVC,247190.0,1
KXEARNINGSMENTIONUBER,246667.0,59
KXOCTSWEEP,246296.0,1
KXLEAVITTLATE,246130.0,42
KXOSCARPROD,244756.0,26
RTBLINKTWICE,244343.0,13
RTINSIDEOUT2,244212.0,10
KXEARTHQUAKEM7,244151.0,5
KXFOMCVOTE,244070.0,3
KXTRUMPMEETELON,243524.0,1
ITAXH,243414.0,2
KXSTARMERMENTION,243318.0,54
KXFDABANS,243138.0,4
KXPFAPOY,242357.0,20
KXMINAJMENTION,242348.0,10
KXNBERRECESSQ,242347.0,6
NPRDEFUND,242212.0,2
WEALTHY,241762.0,6
KXBOLIVIAFIRSTROUND,241121.0,4
KXBUSHMENTION,240689.0,12
KXMLBALROTY,240598.0,17
KXBILATERALMENTION,240457.0,97
KXBIRTHRIGHT,240203.0,1
KXABORTION,239324.0,1
PRESPARTYME2,238845.0,2
KXJREPODCAST,238790.0,2
KXCANDEBMENTION,238591.0,30
KXRTDAREDEVILBA,237928.0,7
KXSECINT,236735.0,4
KXTAYLORSWIFT,236245.0,3
KXLBJRETIRE,235432.0,1
KXAISPIKE,235422.0,6
KXTRUMPCEA,235217.0,2
KXPRESTALK,234658.0,17
KXTOPSONGSPOTIFYUSA,234596.0,14
KXVPRESNOMR,233899.0,21
KXBIG10REG,233821.0,18
GRAMBNA,233560.0,38
KXGREENTERRITORY,233085.0,1
KXNEWCOACHCHIBEARS,232630.0,19
KXGOOGLEBREAKUP,232510.0,1
KXNORWAYCHESS,232069.0,6
KXROBOTAXICA,231778.0,1
HOUSECA27,231311.0,4
HOUSEIA1,231241.0,4
538APPROVEY,230482.0,23
KXZAKARIAMENTION,229673.0,26
GRAMSOTY,229645.0,38
NEWALBUM,228781.0,8
KXRESTORELOCAL,228402.0,1
ETHMAXY,227350.0,4
KXEMERCUTS,226592.0,5
FEDNOM,226536.0,1
KXTOPPOP,226531.0,8
KXALBUMSALESCARDIB,225359.0,11
KXALTMANMENTION,225237.0,38
KXFLUORIDE,224461.0,1
KXIRANMEET,223608.0,1
KXNEWCOACHDAL,223289.0,18
KXRTCLOWNINACORNFIELD,222002.0,14
KXOSCARINTLFILM,221583.0,7
KXEARNINGSMENTIONMETA,221521.0,56
KXGTEMP,221118.0,2
KXHBUDGETRES,220532.0,3
MTA,218513.0,45
TSA,218432.0,81
KXVPRESNOMD,217995.0,15
OSCARACTO,217851.0,20
POPVOTEKHNY,217754.0,1
KXRECESSCAB,217685.0,1
RTFLYMETOTHEMOON,217322.0,10
RTIF,217158.0,10
RECNC,215667.0,10
KXNEWPOPEDATE,215574.0,5
KXOSCARASPLAY,215450.0,29
KXOAIBROWSER,214961.0,1
KXNEWSOMMENTION,214296.0,33
HOUSETN7S,214200.0,2
RTBORDERLANDS,213200.0,13
CPIGAS,212973.0,114
KXAPPRANKSPORTS,212611.0,1
POPVOTEKHVA,212014.0,1
KXTXHOUSEDEM,211838.0,1
KXECDJT270,211374.0,1
RTEZRA,210696.0,8
KXEARNINGSMENTIONDIS,209215.0,45
CABINETRONPAUL,208671.0,1
KXTHELASTOFUSS2,208643.0,7
KXSPANBERGEROUTPERFORMRCP,208319.0,1
KXCAN2ND,208117.0,5
KXATPMC,208022.0,24
KXSTABLECOIN,207964.0,7
KXDJTRGA,207663.0,17
KX1SONGSABRINACARPENTER,207291.0,2
KXBTCATH,206640.0,2
KXRANKLISTIGN,206267.0,27
KXTARIFFSG,206157.0,1
KXNCAAMBIG12,205991.0,16
KXTARIFFENDPRC,205925.0,5
KXNORWAYPM,205917.0,10
GOVPARTYDE,205407.0,4
KXVOTERID,204994.0,1
KXSIXKINGSSLAM,204755.0,6
KXCRYPTODAY1,204469.0,1
KXNEWOUTBREAK,203156.0,1
KXARCTICICEMAX,202902.0,9
TIKTOKSELL,202826.0,1
KXGRAMMYNOMAOTY,202799.0,26
PRESPARTYMA,202150.0,2
KXVOTEDRFK,202043.0,1
POPVOTEDJTTX,201865.0,1
KXEARNINGSMENTIONINTC,201321.0,13
KXDEFICIT,200911.0,1
KXUKRAINERESIGN,200256.0,1
KXEARNINGSMENTIONMSFT,200187.0,58
KXCABFAIL,199009.0,1
KXOSCARSOUND,198739.0,13
KXHALFTRIL,198328.0,5
KXADAMSDLEAVE,197800.0,1
KXNBACUP,197755.0,30
GOVPARTYNC,197482.0,4
SFFA,197263.0,2
VAXMAND,197076.0,2
KXTOP5POP,196737.0,13
KXINXPOS,196434.0,1
KX3RDPARTY,195751.0,1
KXNCAABACC,195642.0,47
KXTECHLAYOFF,194955.0,12
KXADAMSDROPOUTBY,194582.0,3
TOPTEN,194305.0,1
RTBEETLEJUICE,194239.0,13
KXGOVNJNOMR,194174.0,12
HURORL,193996.0,15
KXPERFORMSUPERBOWLB,193559.0,40
KXDNCCHAIR,192017.0,7
KXRECBILL,191732.0,12
PRESPARTYVT,191705.0,2
KXSECTRANS,191611.0,3
KXNEXTTEAMMICAH,191044.0,32
KXTRADEOFFNBA,190383.0,8
CORPTAX,190313.0,3
BOOSTER,190008.0,35
KXADP,189468.0,150
KXGRAMBPS,188752.0,12
KXMCMAHONCOUNT,188556.0,10
KXNEWCOINLAUNCH,188349.0,12
KXTRUMPNETFAVINAUG,188328.0,1
KXLTGOVVA,187647.0,2
KXXRP,187559.0,60540
KXH5N1CASES,186584.0,7
KXGOVOHNOMR,186340.0,4
KXECDJT283,185702.0,1
OSCARASPLAY,185474.0,23
KXLAMAYORRESIGN,185459.0,1
KXMJSCHEDULE,184871.0,2
KXPOLANDROUND1,184072.0,7
KXTOPSONGS,184012.0,14
KXCRYPTORESERVE,183930.0,5
KXECDJT322,183877.0,1
KXRTNOWYOUSEEME3,183819.0,8
KXBILLBOARDRUNNERUPSONG,182807.0,402
KXRANKLISTGOOGLESEARCH2,182465.0,35
KXNBAPTS,182030.0,530
KXOSCARCINE,181270.0,26
PRESPARTYCT,180699.0,2
COVVC,180284.0,4
KXMUSKUNFOLLOWDJT,180253.0,1
KXNBADRAFTTOP5,180177.0,20
KXMOSTSTREAMEDWICKED,179603.0,11
KXCANNESPALMEDOR,179602.0,22
KXGTAPRICE,179240.0,5
KXSPACEXCOUNT,179026.0,17
KXCONGESTIONEND,178821.0,1
KXGPT5,178492.0,1
KXNEWPOPEROUNDS,178431.0,8
KXSIXKINGSSLAMMATCH,178414.0,8
KXGAETZCOUNT,178147.0,13
ARCTICICEMIN,177554.0,19
KXRTREGRETTINGYOU,177362.0,15
KXNYCLASTROUNDMARGIN,177018.0,8
KXHIGHMOVDJT,176258.0,6
FEDCONF,175781.0,3
KXRANKLISTGOOGLESEARCHACT,175518.0,19
KXMAMDANISHERRILL,175272.0,2
KXTRUMPCALL,175111.0,15
KXSENATETXD,174752.0,11
KXPCTVOTEMAMR1,174446.0,7
RTWATCHERS,172708.0,16
KXTARIFFPHARMA,172375.0,2
KXTOPALBUMRECORDGNX,171924.0,3
KXNCAABBIG12,171753.0,52
PRESPARTYMD,171582.0,2
KXRTRENTALFAMILY,171528.0,9
KXNBACOY,171476.0,31
KXTARIFFSCOPPER,171291.0,1
KXNYCBOROUGHWINMAN,171026.0,2
HMONTH,170532.0,10
RTTRANSFORMERSONE,170155.0,9
TOPALBUMRECORD,170101.0,11
KXSTREAMERHAIRCUT,169855.0,1
KXRTMATERIALISTS,169820.0,11
KXXCEOCHANGE,169722.0,1
RTTHEFALLGUY,168596.0,6
KXNYCMAYORDSECOND,167603.0,6
POPVOTEKHCA,167362.0,1
KXLEAVITTMENTIONDURATION,166887.0,63
HARVARD,166483.0,8
KXSANCTIONRUS,166419.0,2
KXAPCALLSNYC,165849.0,8
KXECDJT312,165157.0,1
RTABIGAIL,165063.0,8
KXBLASTRIVALS2,165000.0,4
KXJOBLESSCLAIMS,164944.0,132
HOUSECO8,163963.0,4
KXOSCARDOCU,163542.0,9
KXRTAMERICANA,163326.0,8
KXAUSTRALIA,163197.0,5
KXSENMINORITY,163056.0,10
KXFEDDCEXT,162336.0,1
KXGGDRAMAFILMACTO,162003.0,27
KXCONFFEDGOV,161797.0,20
POPVOTEKHNJ,161502.0,1
KXSOLANAATH,161165.0,1
KXNEWTAYLOR,160971.0,3
KXDJTNATOMENTION,160741.0,30
HOUSEAZ6,160118.0,4
KXGGDRAMAFILMACTR,159952.0,28
RTCHALLENGERS,159943.0,7
KXWALLERMENTION,159583.0,36
KXCSGOMAP,159507.0,8
KXTNOTED,159396.0,3165
KXGRAMBCA,159184.0,6
KXVOTESHUTDOWNH,158780.0,22
KXTARIFFCAN,158728.0,5
KXKNOXAUDIT,158684.0,1
EURO,158652.0,36
KXMELANIAMENTION,158476.0,30
WEIGHTDRUGSQ,157439.0,36
TOPLLM,157121.0,1
KXGAMEAWARDSBAD,156730.0,11
KXGGFILMSUPACTR,156270.0,28
KXTRUMPELONCALL,155969.0,1
KXSURVIVORELIMINATION,155775.0,110
KXECONPATH,155771.0,4
ETHATH,155468.0,2
KXTRANSSPORTS,154842.0,1
KXAMEND22,154806.0,1
KXTOP10BILLBOARD,154592.0,27
KXSUPERINTWI,154199.0,3
KXMARALAGO,153960.0,13
KXTSAMAX,153787.0,1
KXARRESTMAMDANI,153235.0,1
RTCIVIL,153036.0,6
KXOSCARCOSTUME,152746.0,28
RTSPEAKNOEVIL,152526.0,10
RTTRAP,151930.0,13
GRAMROTY,151925.0,38
TNOTE,151663.0,68
KXTRUMPREMOVE,150876.0,1
KXACPI,150855.0,13
HURNO,150728.0,15
MOON,150201.0,4
KXMCCODBLOPS7,150142.0,8
KXATPIWO,149758.0,28
KXFORMALNOMGAETZ,149667.0,1
KXHEGSETHMENTION,148902.0,40
KXOSCARGUESTS,148872.0,20
BBB,148561.0,1
KXWTAIWO,148366.0,28
KXTOPALBUMBYCARDIB,148098.0,1
KXSAGAWARDACTR,147977.0,11
KXPGLBUCH,147629.0,8
KXNEWSCOTUSCONF,147593.0,10
KXIRISHPM,147512.0,11
KXTRIFOLD,147370.0,5
KXBTCMENTIONVANCE,147339.0,17
KX2028DRUN,146920.0,32
KXETHMAXM,146701.0,7
KXNCAABBIGEAST,145938.0,28
KXDEBATEMAMDANICUOMO,145909.0,1
KXSTOPWORK,145887.0,3
KXOPENAIDAYS,145872.0,11
KXBILLS,145814.0,13
KXWLEADERUKR,144172.0,1
KXPROP50COUNTIES,144090.0,9
KXFOOTBALL1001,143983.0,35
KXAMAAOTY,143481.0,11
KXSENATENCR,143403.0,7
KXDAYLIGHT,143316.0,1
KXVETOCOUNT,143226.0,3
KXTRUMPSCOTUS,143123.0,1
PS6,142784.0,1
KXPRESPARTY,141926.0,2
KXF1POLEPOSITION,141879.0,20
KXOSCAREDIT,141830.0,23
KXGGGNOMMCOMFILMACTO,141568.0,18
KXSURVIVOR,141496.0,17
KXGRAMBRA,141377.0,12
KXBEASTWATER,141077.0,3
KXPHOENIXOPEN,141068.0,17
KXGRAMBCS,140685.0,12
KXIRELANDPRES,140551.0,25
KXTOPALBUMJUSTINBIEBER,140531.0,1
KXCOMMENTSWIFTRUMP,140181.0,2
KXWTIW,140084.0,855
KXHULKHOGANATTEND,140058.0,7
KXMIDSEASONINVITATIONALB,139932.0,8
SNOWNY,139826.0,17
KXSHERRILLCOUNTIES,139405.0,9
OSCARCOUNTDUNE2,138823.0,13
KXTIKTOKDJT,138643.0,1
KXGGGNOMMCOMFILM,138610.0,19
OSCARDIR,138600.0,22
ARGDOLLAR,138546.0,2
RTTWISTERS,138385.0,10
KXGGMCOMFILMACTO,138223.0,30
KXCPICOREA,138082.0,13
ECONPATH,137468.0,8
KXFT,137007.0,22
KXTRDBAN,136973.0,1
KXGRAMMYNOMROTY,136631.0,30
SAG,136465.0,8
KXTRUMPSS,135976.0,3
KXLEAVECRACKERBARREL,135785.0,1
KXSPOTIFYALBUMRELEASE,135780.0,26
KXGILLISESPYS,135540.0,42
CABINETDIMON,135175.0,1
KXDJTWOMENS,134881.0,21
KXWNBAMVP,134843.0,13
KXLATENIGHTMENTION,134808.0,20
RTGODZILLAXKONG,134493.0,8
KX1SONGTAYLORSWIFT,134297.0,1
KXTRUMPFIRE,133642.0,20
KXVOTESTEFANIK,133511.0,18
KXGTA6ONTIME,133254.0,1
KXOSCARAS,133235.0,6
KXEARNINGSMENTIONCOINBASE,132506.0,33
KXCIA,132034.0,9
KXTARIFFEUAUTO,132034.0,1
OSCARSPLAY,131971.0,20
KXDEBTLEVEL,131816.0,1
AILEGISLATION,131428.0,2
KXSONGCHARTTSWIFT,131368.0,1
KXMLBPLAYOFFS,131359.0,30
KXGAETZ,131204.0,1
KXNYCBOROUGHWINBRON,131141.0,2
RTTERRIFIER3,131132.0,9
POPVOTEKHMN,130671.0,1
KXBIG12REG,130671.0,16
KXAWARDSCMAAOTY,130423.0,6
KXBILLBOARDRUNNERUPALBUM,130355.0,377
KXGOVTRECOGSYRIA,130290.0,5
KXRECSSNBER,130110.0,1
KXSEYCHELLESPRES,129483.0,2
OSCARSUPACTO,129233.0,20
KXNORWAYPARTY,129051.0,10
KXDOGEMAXY,128837.0,7
HOTYEAR,128610.0,10
KXNBADRAFT1,128608.0,13
KXCOMPANYACTIONYOUTUBE,128446.0,6
KXTRUMPNOMW,128434.0,1
KXBUDGETCUT,127952.0,4
KXEARNINGSMENTIONMCD,127815.0,12
OSCARNOMACTO,127725.0,10
CASE7DTX,127312.0,4
KXSPOTIFYSONGSMANCHILD,127216.0,140
COVVHC,127132.0,1
KXRECALLNEWSOM,126598.0,1
KXCAPMLEAVE,126194.0,3
KXAAPLPRICE17OVER16,125947.0,1
KXHURPATHGENERAL,125910.0,1
GBP,125566.0,73
TEMP,125156.0,1
KXBOND,125041.0,22
KXJENSENMENTION,124750.0,22
KXTOPALBUMKENDRICK,124601.0,1
KXMSUNIVERSETOPTHREE,124396.0,126
KXCAPROP50OUTPERFORMVOTEHUB,124344.0,1
KXEARNINGSMENTIONPYPL,124162.0,15
MANCHIN,124016.0,2
KXLYRICNEWSWIFT,124003.0,27
OSCARNOMSUPACTO,123595.0,12
KXKHBLUEWALL,123463.0,1
KXBIDENNEBRASKA,123144.0,1
KXSTARLADDERBUDAPESTMAJOR,123141.0,40
KXGGMCOMFILM,122981.0,28
BTCMAXM,122927.0,18
KXEARNINGSMENTIONBLK,122679.0,15
KXRESCISSIONBILL,122490.0,2
KXNEWCOACHNYJ,122047.0,16
KXGOVNYNOMD,122019.0,9
KXOSCARSONG,121456.0,13
KXSCOURT,121451.0,34
PRESPARTYIN,121355.0,2
KXSKACTINGIMPEACH,120946.0,1
PRESPARTYSC,120883.0,2
COVVOHC,120832.0,4
KXEUTARIFFSIZE,120394.0,5
KXFIDECANDIDATES,120080.0,22
KXYTUBESUBSBEAST,120062.0,4
HIGHNY0,120014.0,21
EUROIMF,119913.0,66
KXCREDITRATING,119833.0,2
KXEWCCHESS2025,119756.0,18
KXCRITICSACTR,119737.0,11
KXLTGOVVANOMD,119135.0,5
PRESPARTYLA,119100.0,2
KXNEWPOPECONTINENT,119023.0,6
KXNATIONALE,118999.0,1
KXSPOTIFYSONGSTLOASG,118911.0,18
KXRTDOWNTONABBEY,118759.0,10
KXMLBALRELOTY,118324.0,16
KXUSAMBTOUN,118281.0,5
KXABRAHAMSA,118185.0,12
KXCRITICSPIC,117960.0,15
KXCRYPTOPERFORMY,117360.0,9
KXNBA3PT,117295.0,455
KXDUTCHSECOND,117289.0,5
KXREALID,117223.0,1
FEDRATEMIN,117208.0,7
KXESPYTEAM,116574.0,10
KXMLBALMOTY,116536.0,15
KXWNBASERIES,116343.0,12
KXMMMENTION,116333.0,80
KXRANKLISTSONGGOL,116318.0,2
KXTIMEPOTYWOMAN,115698.0,1
KXPMKICKINGCONTEST,115554.0,4
KXGAMEAWARDSBA,115304.0,11
KXSUNBELT,115109.0,1
INFRA,115000.0,1
KXGRAMMYCOUNTKENDRICK,114720.0,8
KXTESLAGAS,114496.0,1
PRESPARTYDE,113973.0,2
RTFIRSTOMEN,113939.0,9
PRESPARTYRI,113849.0,2
KXEARNINGSMENTIONAMD,113460.0,35
KXECDJT287,113094.0,1
KXRENAMECOMMANDERS,112864.0,1
PRESPARTYDC,112786.0,2
KXNEWAAPLVR,112735.0,1
KXTRUMPRESIGN,112711.0,1
KXNBAREB,112699.0,435
KXEARNINGSMENTIONAMC,112481.0,32
KXDJTBLUEWALL,112397.0,1
KXNEWCOACHLV,112247.0,9
KXMARATHON,112239.0,87
KXSALT,111479.0,6
KXELECTUKRAINE,111438.0,1
KXGGGNOMMCOMFILMACTR,111311.0,18
KXDEPORTATION,111292.0,1
KXATF,111167.0,9
KXRECCOUNT,111018.0,6
PRESPARTYMO,110890.0,2
KXCRITICSCINE,110697.0,12
RTSMILE2,110468.0,8
KXUCL16PSVJUV,110259.0,2
KXCFBMENTION,110257.0,22
KXCOUNTRYBTC,110217.0,1
KXCABDATE,110149.0,12
PRESPARTYNE,110116.0,2
KXGGGNOMDRAMAFILM,110063.0,16
KXNEWCOACHJAX,110018.0,8
KXRECNCSVOTE,109716.0,8
JOBLESS,109687.0,74
KXGGGNOMDIR,109418.0,16
KXNFLPREPACK,109415.0,22
KXTRUMPTRICKORTREAT,109259.0,1
KXTIKTOKCERT,109241.0,1
RTACOLYTE,109028.0,8
KXNYCHOT,109024.0,1
KXTARIFFSEMI,108967.0,1
TRDBAN,108909.0,3
KXALLVOTETG,108818.0,1
KXCPIGAS,108627.0,63
KXPOTUSTWEETS,108619.0,108
KXTRUMPOUT27,108586.0,1
KXTOPALBUMBYDRAKE,108486.0,2
RTKINDS,108142.0,9
NASDAQ100M,108099.0,90
KXLAKENRILEY,108014.0,12
KXDJTMUSKAPOLOGY,107970.0,2
KXMAYOROAKLAND,107828.0,9
KXROGANDJT,107432.0,1
KXOSCARVIS,107111.0,13
VULTURES,107096.0,11
KXSPOTIFY100MILLIONSWIFT,106943.0,12
KXDEBTGROWTH25,106752.0,9
KXNEWOUTBREAKPH5N1,106538.0,1
KXGRAMMYCOUNTSWIFT,106043.0,7
KXCANNDPSEATS,106027.0,6
KXHOUSEMINORITY,105820.0,14
KXSAGAWARDSUPACTR,105371.0,12
RTMEGALOPOLIS,105202.0,8
GOVPARTYNY,104823.0,2
KXTRUMPPUTIN2,104662.0,1
KX14AMENDCASE,104649.0,1
KXNEWPOPENAME,104565.0,16
KXTUSHPUSH,104315.0,1
KXTEXASBTC,104233.0,1
KXUKPMLEAVE,104173.0,1
KXJONESDROPOUT,104135.0,1
KXSAGAWARDACTO,103824.0,10
KXNEWROLEX,103371.0,13
KXTRUMPNOBEL,103004.0,1
KXACCREG,102914.0,18
KXOSCARLAS,102710.0,6
KXCHAVEZCOUNT,102501.0,10
KXOSCARDS,102447.0,6
