category,total_volume,market_count
KXDAVISCUPMATCH,6652280.0,26
RATECUTCOUNT,6609075.0,15
KXSENMAJORITY,6603809.0,11
KXNFLWINS,6598313.0,768
KXOSCARPIC,6519179.0,33
KXHIGHHOU,6416018.0,420
KXVOTERFK,6397515.0,18
KXNFL2TD,6238091.0,1410
NASDAQ100DU,6206850.0,1574
RSENATESEATS,6205451.0,8
KXNASCARRACE,6189415.0,379
KXSTATEDEEPDJT,6143975.0,1
KXETHMINY,6133172.0,11
KXCUOMODROPOUT,6128407.0,3
KXSBADS,6118248.0,17
KXSONGSONCHARTTSWIFT,6086781.0,2
KXEOCOUNTDAY1,6051640.0,17
KXNHLTOTAL,6035454.0,1265
INXDU,5890522.0,1550
TNOTED,5872017.0,4313
KXCANCOALITION,5848174.0,6
KXSECTREASURY,5776757.0,11
KXDNI,5775465.0,3
CPI,5741470.0,330
KXPREMIERLEAGUE,5741358.0,40
KXINAUG,5665793.0,29
KXMLBSPREAD,5658002.0,240
GOVPARTYVA,5610201.0,2
KXEOCOUNTDAY1B,5600731.0,8
KXGOVTCUTS,5592207.0,19
KXPRESROMANIA24,5567445.0,9
POPVOTEKHNM,5518133.0,1
KXPGARYDERTOP,5494985.0,24
KXLOLGAMES,5492191.0,78
KXNCAAMBACHAMP,5437657.0,34
SENATENV,5434688.0,4
KXVOTEPERCENTMAMDANI,5393529.0,6
KXU3,5330775.0,94
KXNFLNFCCHAMP,5293254.0,16
KXFEDMENTION,5243591.0,261
KXLEAGUEWORLDS,5046794.0,13
KXNYCMAYOR2ND,4967665.0,7
RHOUSESEATSSMALL,4956663.0,13
KXVOTETULSI,4886569.0,14
RHOUSESEATS,4858670.0,11
RECSSNBER,4815072.0,4
KXSUPERBOWLHEADLINE,4813533.0,50
KXNFLAFCCHAMP,4798446.0,16
KXELECTIONMOVVAGOV,4753240.0,10
CONTROLH,4668201.0,4
PRESPARTYTX,4654059.0,2
PRESPARTYNH,4649224.0,2
KXEUROLEAGUEGAME,4647294.0,66
BTCD,4557814.0,5081
SENATETX,4414910.0,4
KXGOVREOPEN2025,4205749.0,1
KXPRESPERSON,4192241.0,21
SHUTDOWNBY,4184398.0,1
PRESPARTYNJ,4152324.0,2
KXTRUMPOFFICIAL,4125812.0,30
KXNCAAWBGAME,4103301.0,232
KXSNFMENTION,4090383.0,217
KXDEMSWEEP,3999435.0,1
KXAPPRANKFREE,3943570.0,1541
KXDOED,3934156.0,2
SENATEPA,3917206.0,4
TIKTOKBAN,3907027.0,5
KXBRASILEIROGAME,3903991.0,195
KXEOCOUNTDAY2,3896884.0,11
KXFBI,3869800.0,5
KXTIME,3851737.0,37
KXTRUMPSAY,3768932.0,240
KXTSAW,3760945.0,1098
HIGHAUS,3690359.0,3165
KXTOP10BILLBOARDSPOTSTS,3634317.0,60
538APPROVE,3602835.0,1179
KXWISCOTUS,3571663.0,2
POPVOTEMOVNC,3527770.0,14
CABINETRFK,3492893.0,1
KXIPO,3487518.0,50
KXTNFMENTION,3402902.0,240
POPVOTEMOVGA,3391469.0,14
TIPPINGPOINT,3388121.0,20
KXNFLRECYDS,3355508.0,4904
KXCSGOGAME,3277412.0,112
KXNFLMENTION,3263772.0,237
EURUSD,3235143.0,7006
KXFEDCHAIRNOM,3232237.0,23
KXEMMYDSERIES,3187898.0,11
PRESPARTYCA,3183054.0,2
KXTOPMODEL,3086258.0,74
KXEPSTEINBILL,3079100.0,1
HOUSECA45,3066542.0,4
KXNBAMVP,3057037.0,72
KXVOTEPATEL,3034138.0,6
